fecha,anio,mes,pct_ext_servicio,pct_ext_cortes2025,pct_ext_cubo,celdas,ha,grande,calendario
2025-05-31,2025,5,1.8227589111989249,1.4502637754999699,1.814334142378593,0,0.0,0,0.12258064516129032
2025-06-01,2025,6,0.44109682466451366,0.252141295408501,0.4374862094558001,13,311.0,1,0.132258064516129
2025-06-02,2025,6,0.45273102922592423,0.2762120634665918,0.44871923454957574,0,0.0,0,0.132258064516129
2025-06-03,2025,6,0.263976089703729,0.1416163520751008,0.26116783343028505,0,0.0,0,0.1387096774193548
2025-06-04,2025,6,0.16428299199646962,0.07361643231099432,0.16167532545684313,1,18.0,0,0.14193548387096772
2025-06-05,2025,6,0.20680801556576334,0.11493791747738351,0.20580506689667624,10,27.0,1,0.15161290322580642
2025-06-06,2025,6,0.2631737307684593,0.15184642849978938,0.26056606422883277,0,0.0,0,0.15483870967741933
2025-06-07,2025,6,0.18012958096804604,0.0854512266062223,0.17772250416223698,2,21.0,0,0.15806451612903225
2025-06-08,2025,6,0.37590516117385114,0.20099091328505808,0.37089041782841553,0,0.0,0,0.15806451612903225
2025-06-09,2025,6,0.5584418189477063,0.36246564900808376,0.5558341524080798,3,40.0,0,0.16129032258064516
2025-06-10,2025,6,0.734158425771769,0.433675004513269,0.730347220829238,34,1451.0,1,0.16774193548387095
2025-06-11,2025,6,0.19717970834252702,0.11654263534792289,0.1951738110043528,6,32.0,1,0.16774193548387095
2025-06-12,2025,6,0.19376968286763083,0.10611196918941689,0.19116201632800434,4,29.0,0,0.16774193548387095
2025-06-13,2025,6,0.11594086614647062,0.05215333079253004,0.11473732774356608,0,0.0,0,0.16774193548387098
2025-06-14,2025,6,0.14221812127655306,0.06900286843319359,0.14141576234128336,7,40.0,1,0.17096774193548386
2025-06-15,2025,6,0.040519126231119494,0.018253665777385512,0.03991735702966722,2,3.0,0,0.1709677419354838
2025-06-16,2025,6,0.4282590817001986,0.28945098589854173,0.42605259462820694,15,279.0,1,0.16774193548387092
2025-06-17,2025,6,0.7285419132248812,0.5427958197099473,0.7253324774838024,58,2358.0,1,0.17419354838709675
2025-06-18,2025,6,0.9243174934306863,0.6416865584819369,0.9176980322147112,6,27.0,1,0.18064516129032251
2025-06-19,2025,6,0.3654744950153451,0.18012958096804604,0.3604597516699095,5,57.0,1,0.1870967741935483
2025-06-20,2025,6,0.9201051090205203,0.6460995326259202,0.9126832888692756,6,74.0,1,0.19032258064516122
2025-06-21,2025,6,0.3532385212524823,0.2238581429402443,0.35002908551140355,37,847.0,1,0.19999999999999996
2025-06-22,2025,6,0.5127073596373337,0.36386977714480573,0.5100996930977073,10,202.0,1,0.20967741935483866
2025-06-23,2025,6,0.9213086474234249,0.6119992778769583,0.9146891862074499,19,616.0,1,0.21290322580645157
2025-06-24,2025,6,0.5417928710408602,0.32796421479148696,0.5365775379616071,4,53.0,0,0.2064516129032258
2025-06-25,2025,6,0.3399995988205324,0.23268409122821093,0.33819429121617556,8,56.0,1,0.22580645161290322
2025-06-26,2025,6,0.12837742964315085,0.05977574067759212,0.12637153230497664,20,546.0,1,0.22903225806451613
2025-06-27,2025,6,0.2565542695524843,0.1476340440896235,0.2545483722143101,2,8.0,0,0.23225806451612901
2025-06-28,2025,6,0.5429964094437647,0.3799169558501996,0.5401881531703208,10,135.0,1,0.24516129032258063
2025-06-29,2025,6,1.0454736926564099,0.8025595250035104,1.0404589493109742,7,103.0,1,0.25161290322580643
2025-06-30,2025,6,0.8573205223356669,0.6352676869997793,0.8525063687240487,13,182.0,1,0.26129032258064516
2025-07-01,2025,7,0.7465949892684492,0.48963954024833006,0.7399755280524742,103,5517.0,1,0.27419354838709675
2025-07-02,2025,7,0.4759994383487453,0.2832327041502016,0.47098469500330975,4,35.0,0,0.27419354838709675
2025-07-03,2025,7,0.4870318737087036,0.2922592421719856,0.48322066876617253,36,708.0,1,0.2806451612903225
2025-07-04,2025,7,0.45513810603173327,0.279622088941488,0.4515274908230197,28,482.0,1,0.30322580645161284
2025-07-05,2025,7,0.4288608509016509,0.29085511403526365,0.42545082542675466,4,12.0,0,0.30322580645161284
2025-07-06,2025,7,0.5650612801636812,0.36386977714480573,0.5612500752211502,1,1.0,0,0.3064516129032258
