temporada,modelo,top_pct,dias,captura_ha_dia,captura_ha_total,captura_celdas,inc100,lift_ha
2025,prod,0.5,138,,7.159226262952836,7.173169062286106,14.18918918918919,14.318452525905672
2025,prod,1.0,138,,11.702965997715632,12.005475701574264,22.972972972972972,11.702965997715632
2025,prod,2.0,138,,21.74761889168163,21.163586584531142,31.756756756756758,10.873809445840815
2025,prod,5.0,138,,43.773172158609995,40.19164955509925,48.648648648648646,8.754634431722
2025,prod,10.0,138,,59.612269141490444,54.98973305954826,66.89189189189189,5.961226914149044
2025,prod,20.0,138,,75.2636708498439,71.2662559890486,79.72972972972973,3.7631835424921953
2025,unico,0.5,138,,13.151095038210759,11.143052703627653,19.594594594594593,26.302190076421518
2025,unico,1.0,138,,18.88702397311154,16.865160848733744,25.675675675675677,18.88702397311154
2025,unico,2.0,138,,28.825839624719567,26.20123203285421,35.810810810810814,14.412919812359783
2025,unico,5.0,138,,45.758183400619764,42.42299794661191,50.0,9.151636680123953
2025,unico,10.0,138,,63.585937894101626,59.45242984257358,67.56756756756756,6.358593789410163
2025,unico,20.0,138,,79.77886646344659,75.12662559890487,83.10810810810811,3.9889433231723297
2025,r10,0.5,138,,12.584026916288275,10.855578370978781,16.216216216216218,25.16805383257655
2025,r10,1.0,138,,18.610852274667284,16.687200547570157,23.64864864864865,18.610852274667284
2025,r10,2.0,138,,26.315018657687336,24.298425735797398,32.432432432432435,13.157509328843668
2025,r10,5.0,138,,47.50503972230452,43.9151266255989,53.37837837837838,9.501007944460904
2025,r10,10.0,138,,62.99398353385393,59.32922655715264,69.5945945945946,6.299398353385393
2025,r10,20.0,138,,78.72936571773494,74.88021902806297,83.78378378378379,3.936468285886747
2025,pareja,0.5,138,,9.304542280761504,7.885010266940451,14.864864864864865,18.60908456152301
2025,pareja,1.0,138,,17.520519201129765,14.811772758384668,21.62162162162162,17.520519201129765
2025,pareja,2.0,138,,32.289696946417784,27.392197125256672,32.432432432432435,16.144848473208892
2025,pareja,5.0,138,,53.89572458931232,46.652977412731005,51.351351351351354,10.779144917862464
2025,pareja,10.0,138,,72.40614844226825,64.33949349760438,72.97297297297297,7.240614844226824
2025,pareja,20.0,138,,84.52384043395217,78.78165639972622,91.89189189189189,4.226192021697608
2025,donde,0.5,138,,5.010193796206096,4.271047227926078,11.486486486486486,10.020387592412192
2025,donde,1.0,138,,11.932346186119664,10.061601642710473,19.594594594594593,11.932346186119664
2025,donde,2.0,138,,27.47931104120959,22.874743326488705,26.35135135135135,13.739655520604796
2025,donde,5.0,138,,50.18056544945329,42.12183436002738,37.83783783783784,10.036113089890659
2025,donde,10.0,138,,63.039786595364546,55.34565366187543,56.08108108108108,6.303978659536455
2025,donde,20.0,138,,78.21802189299007,71.30732375085557,80.4054054054054,3.9109010946495033
2025,cuando,0.5,138,,4.318641862410572,4.407939767282683,6.756756756756757,8.637283724821144
2025,cuando,1.0,138,,9.06879994179106,8.829568788501026,11.486486486486486,9.06879994179106
2025,cuando,2.0,138,,16.075238946971915,15.263518138261464,18.91891891891892,8.037619473485957
2025,cuando,5.0,138,,24.572913308845735,24.257357973990416,37.83783783783784,4.914582661769147
2025,cuando,10.0,138,,49.60337891145506,45.46201232032854,56.75675675675676,4.960337891145506
2025,cuando,20.0,138,,69.88667952936217,65.07871321013005,74.32432432432432,3.4943339764681083
2026,prod,0.5,86,3.6422372193968164,5.525943804162655,5.123191239734063,9.433962264150944,11.05188760832531
2026,prod,1.0,86,5.598542770563876,9.026877852176499,8.447399296050058,11.320754716981131,9.026877852176499
2026,prod,2.0,86,11.777125710685617,11.538212082087798,11.47829487680876,19.81132075471698,5.769106041043899
2026,prod,5.0,86,24.933343757310404,17.542830977890002,18.71333594055534,28.30188679245283,3.5085661955780005
2026,prod,10.0,86,37.6241474691526,24.729575384385214,26.84786859601095,40.56603773584906,2.4729575384385214
2026,prod,20.0,86,49.59837057965125,40.24622789282499,41.39616738365272,55.660377358490564,2.0123113946412494
