temporada,regla,dias,territorio_medio_pct,captura_ha_total,lift_ha
2025,EXT sin semáforo,155,2.326883618483503,46.301568740707076,19.89853225701212
2025,EXT V0,155,1.9747308700482644,45.58356639796026,23.083432324550714
2025,EXT V1,155,2.261945603946571,46.297691318934056,20.468083422587757
2025,ALTO+EXT sin semáforo,155,14.217533742752076,76.94832927022317,5.412213585176155
2025,ALTO+EXT V0,155,14.217533742752076,76.94832927022317,5.412213585176155
2025,ALTO+EXT V1,155,14.217533742752076,76.94832927022317,5.412213585176155
2026,EXT sin semáforo,95,1.4493241709573517,3.8354105297121937,2.6463441420277367
2026,EXT V0,95,1.0556171987749245,2.1644535382897048,2.0504151891439606
2026,EXT V1,95,1.4493241709573517,3.8354105297121937,2.6463441420277367
2026,ALTO+EXT sin semáforo,95,17.792685231422492,58.81653639362188,3.3056582313809417
2026,ALTO+EXT V0,95,17.792685231422492,58.81653639362188,3.3056582313809417
2026,ALTO+EXT V1,95,17.792685231422492,58.81653639362188,3.3056582313809417
